route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,80,10,,,700,,,
10,80,203,,,700,,,
100,80,X80,,,700,,,
101,80,X90,,,700,,,
102,80,Z60,,,700,,,
11,80,204,,,700,,,
12,80,21,,,700,,,
13,80,22,,,700,,,
14,80,25,,,700,,,
15,80,26,,,700,,,
16,80,30,,,700,,,
17,80,31,,,700,,,
18,80,310,,,700,,,
19,80,311,,,700,,,
2,80,11,,,700,,,
20,80,40,,,700,,,
21,80,41,,,700,,,
22,80,410,,,700,,,
23,80,44,,,700,,,
24,80,45,,,700,,,
25,80,456,,,700,,,
26,80,50,,,700,,,
27,80,52,,,700,,,
28,80,525,,,700,,,
29,80,53,,,700,,,
3,80,15,,,700,,,
30,80,55,,,700,,,
31,80,58,,,700,,,
32,80,580,,,700,,,
33,80,581,,,700,,,
34,80,60,,,700,,,
35,80,61,,,700,,,
36,80,65,,,700,,,
37,80,70,,,700,,,
38,80,85,,,700,,,
39,80,88,,,700,,,
4,80,16,,,700,,,
40,80,9112,,,700,,,
41,80,9114,,,700,,,
42,80,9150,,,700,,,
43,80,9151,,,700,,,
44,80,9153,,,700,,,
45,80,9154,,,700,,,
46,80,9157,,,700,,,
47,80,9158,,,700,,,
48,80,9159,,,700,,,
49,80,9201,,,700,,,
5,80,17,,,700,,,
50,80,9202,,,700,,,
51,80,9221,,,700,,,
52,80,9223,,,700,,,
53,80,9224,,,700,,,
54,80,9226,,,700,,,
55,80,9227,,,700,,,
56,80,9231,,,700,,,
57,80,9232,,,700,,,
58,80,9233,,,700,,,
59,80,9234,,,700,,,
6,80,18,,,700,,,
60,80,9235,,,700,,,
61,80,9236,,,700,,,
62,80,9237,,,700,,,
63,80,9238,,,700,,,
64,80,9239,,,700,,,
65,80,9241,,,700,,,
66,80,9242,,,700,,,
67,80,9243,,,700,,,
68,80,9314,,,700,,,
69,80,N1,,,700,,,
7,80,20,,,700,,,
70,80,N10,,,700,,,
71,80,N11,,,700,,,
72,80,N12,,,700,,,
73,80,N14,,,700,,,
74,80,N15,,,700,,,
75,80,N16,,,700,,,
76,80,N18,,,700,,,
77,80,N2,,,700,,,
78,80,N2,,,700,,,
79,80,N2,,,700,,,
8,80,201,,,700,,,
80,80,N3,,,700,,,
81,80,N4,,,700,,,
82,80,N5,,,700,,,
83,80,N6,,,700,,,
84,80,N7,,,700,,,
85,80,N8,,,700,,,
86,80,N9,,,700,,,
87,80,R204,,,700,,,
88,80,R205,,,700,,,
89,80,S1,,,700,,,
9,80,202,,,700,,,
90,80,S2,,,700,,,
91,80,S4,,,700,,,
92,80,S6,,,700,,,
93,80,S7,,,700,,,
94,80,S8,,,700,,,
95,80,S9,,,700,,,
96,80,X109,,,700,,,
97,80,X12,,,700,,,
98,80,X44,,,700,,,
99,80,X441,,,700,,,
