stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,stop_timezone_header
V0000001,,Klinik - Dr. Reiser,,48.7395880,11.4364050,,,1,,,
101,,Klinik - Dr. Reiser,,48.7395880,11.4364050,,,0,V0000001,,
102,,Klinik - Dr. Reiser,,48.7394970,11.4365520,,,0,V0000001,,
V0000002,,"Dünzlau, An der Breite",,48.7761830,11.3304530,,,1,,,
201,,"Dünzlau, An der Breite",,48.7761830,11.3304530,,,0,V0000002,,
202,,"Dünzlau, An der Breite",,48.7765400,11.3299620,,,0,V0000002,,
V0000003,,Rosenschwaigstraße,,48.7187070,11.3717540,,,1,,,
301,,Rosenschwaigstraße,,48.7187070,11.3717540,,,0,V0000003,,
302,,Rosenschwaigstraße,,48.7187590,11.3717370,,,0,V0000003,,
V0000004,,Weiherstraße,,48.7151100,11.3727340,,,1,,,
401,,Weiherstraße,,48.7151100,11.3727340,,,0,V0000004,,
402,,Weiherstraße,,48.7155913,11.3723260,,,0,V0000004,,
V0000005,,Audi - GVZ,,48.7848310,11.4071510,,,1,,,
501,,Audi - GVZ,,48.7848310,11.4071510,,,0,V0000005,,
502,,Audi - GVZ,,48.7856450,11.4082190,,,0,V0000005,,
1601,,"München-Flughafen, Airport Center (MAC)",,48.3532830,11.7858830,,,0,,,
2399,,Am Westpark 1,,48.7738900,11.3878180,,,0,,,
V0000006,,"Reichertshofen, Wackerstraße",,48.6526130,11.4751100,,,1,,,
2601,,"Reichertshofen, Wackerstraße",,48.6526130,11.4751100,,,0,V0000006,,
2602,,"Reichertshofen, Wackerstraße",,48.6526960,11.4751270,,,0,V0000006,,
V0000007,,Adlmannsberger Weg,,48.8065590,11.4059420,,,1,,,
2701,,Adlmannsberger Weg,,48.8065590,11.4059420,,,0,V0000007,,
2702,,Adlmannsberger Weg,,48.8070870,11.4062790,,,0,V0000007,,
V0000008,,"Reichertshofen-Agelsberg, Angerstraße",,48.6469500,11.4971400,,,1,,,
3101,,"Reichertshofen-Agelsberg, Angerstraße",,48.6469500,11.4971400,,,0,V0000008,,
3102,,"Reichertshofen-Agelsberg, Angerstraße",,48.6469800,11.4971930,,,0,V0000008,,
3202,,Alban-Berg-Straße,,48.7742050,11.4069130,,,0,,,
V0000009,,Am Augraben,,48.7850380,11.4391380,,,1,,,
3501,,Am Augraben,,48.7850380,11.4391380,,,0,V0000009,,
3502,,Am Augraben,,48.7851000,11.4390350,,,0,V0000009,,
V0000010,,Am Auwaldsee,,48.7554430,11.4620770,,,1,,,
3801,,Am Auwaldsee,,48.7554430,11.4620770,,,0,V0000010,,
3802,,Am Auwaldsee,,48.7554490,11.4622640,,,0,V0000010,,
V0000011,,Am Dachsberg,,48.7766060,11.3765890,,,1,,,
