from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
101,102,2,120,,,,
102,101,2,120,,,,
201,202,2,120,,,,
202,201,2,120,,,,
301,302,2,120,,,,
302,301,2,120,,,,
401,402,2,120,,,,
402,401,2,120,,,,
501,502,2,120,,,,
502,501,2,120,,,,
2399,76901,2,240,,,,
2399,76902,2,300,,,,
2601,2602,2,120,,,,
2602,2601,2,120,,,,
2701,2702,2,120,,,,
2702,2701,2,120,,,,
3101,3102,2,120,,,,
3102,3101,2,120,,,,
3501,3502,2,120,,,,
3502,3501,2,120,,,,
3801,3802,2,120,,,,
3801,10801,2,1260,,,,
3802,3801,2,120,,,,
3802,10802,2,1260,,,,
3901,3902,2,120,,,,
3902,3901,2,120,,,,
4101,4102,2,120,,,,
4102,4101,2,120,,,,
4301,4302,2,120,,,,
4302,4301,2,120,,,,
4501,4502,2,120,,,,
4502,4501,2,120,,,,
4601,4602,2,120,,,,
4602,4601,2,120,,,,
5001,5002,2,120,,,,
5002,5001,2,120,,,,
5101,5102,2,120,,,,
5102,5101,2,120,,,,
5301,5302,2,120,,,,
5302,5301,2,120,,,,
6401,6402,2,120,,,,
6402,6401,2,120,,,,
6501,6502,2,120,,,,
6502,6501,2,120,,,,
7401,7402,2,120,,,,
7401,7403,2,120,,,,
7401,7404,2,120,,,,
7402,7401,2,120,,,,
7402,7403,2,120,,,,
7402,7404,2,120,,,,
7403,7401,2,120,,,,
7403,7402,2,120,,,,
7403,7404,2,120,,,,
7404,7401,2,120,,,,
7404,7402,2,120,,,,
7404,7403,2,120,,,,
7501,7502,2,120,,,,
7502,7501,2,120,,,,
7601,7602,2,120,,,,
7602,7601,2,120,,,,
7701,7702,2,120,,,,
7702,7701,2,120,,,,
8001,8002,2,120,,,,
8002,8001,2,120,,,,
8101,8102,2,120,,,,
8102,8101,2,120,,,,
8501,8502,2,120,,,,
8502,8501,2,120,,,,
8601,8602,2,120,,,,
8602,8601,2,120,,,,
8801,8802,2,120,,,,
8802,8801,2,120,,,,
8901,8902,2,120,,,,
8902,8901,2,120,,,,
9001,9002,2,120,,,,
9002,9001,2,120,,,,
9101,9102,2,120,,,,
9102,9101,2,120,,,,
9601,9602,2,120,,,,
9602,9601,2,120,,,,
9901,9902,2,120,,,,
9902,9901,2,120,,,,
10001,10002,2,120,,,,
10002,10001,2,120,,,,
10201,10202,2,120,,,,
10201,10204,2,120,,,,
10202,10201,2,120,,,,
10202,10204,2,120,,,,
10204,10201,2,120,,,,
10204,10202,2,120,,,,
10599,51901,2,720,,,,
10599,51902,2,720,,,,
10599,63401,2,600,,,,
10599,63402,2,600,,,,
10801,3801,2,1260,,,,
10801,10802,2,120,,,,
10801,57401,2,300,,,,
10802,3802,2,1260,,,,
10802,10801,2,120,,,,
10802,57402,2,300,,,,
11001,11002,2,120,,,,
11002,11001,2,120,,,,
11301,11302,2,120,,,,
11302,11301,2,120,,,,
11499,51901,2,840,,,,
11499,51902,2,840,,,,
11499,63402,2,540,,,,
11901,11902,2,120,,,,
11902,11901,2,120,,,,
12601,12602,2,120,,,,
12602,12601,2,120,,,,
12701,12702,2,120,,,,
12702,12701,2,120,,,,
12801,12802,2,120,,,,
12802,12801,2,120,,,,
12901,12902,2,120,,,,
12902,12901,2,120,,,,
12902,60701,2,300,,,,
12902,60702,2,300,,,,
13201,13202,2,120,,,,
13202,13201,2,120,,,,
13301,13302,2,120,,,,
13302,13301,2,120,,,,
13401,13402,2,120,,,,
13402,13401,2,120,,,,
13501,13502,2,120,,,,
13502,13501,2,120,,,,
