route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,113959,BusXXX:1:10:30499:39399:29:557:20241001,Knoglersfreude,,,1,,1
1,113959,BusXXX:1:10:39399:30499:28:626:20241001,Herschelstraße,,,2,,1
1,113959,BusXXX:1:10:30499:39399:29:727:20241001,Knoglersfreude,,,3,,1
1,113959,BusXXX:1:10:39399:30499:28:756:20241001,Herschelstraße,,,4,,1
1,113959,BusXXX:1:10:30499:39399:29:857:20241001,Knoglersfreude,,,5,,1
1,113959,BusXXX:1:10:39399:30499:28:926:20241001,Herschelstraße,,,6,,1
1,112545,BusXXX:1:10:30499:39399:29:1027:20241001,Knoglersfreude,,,7,,1
1,113959,BusXXX:1:10:39399:30499:28:1056:20241001,Herschelstraße,,,8,,1
1,113959,BusXXX:1:10:30499:39399:29:1157:20241001,Knoglersfreude,,,9,,1
1,113959,BusXXX:1:10:39399:30499:28:1226:20241001,Herschelstraße,,,10,,1
1,112545,BusXXX:1:10:30499:39399:29:1327:20241001,Knoglersfreude,,,11,,1
1,113959,BusXXX:1:10:39399:30499:28:1356:20241001,Herschelstraße,,,12,,1
1,113959,BusXXX:1:10:30499:39399:29:1457:20241001,Knoglersfreude,,,13,,1
1,113959,BusXXX:1:10:39399:30499:28:1526:20241001,Herschelstraße,,,14,,1
1,112545,BusXXX:1:10:30499:39399:29:1627:20241001,Knoglersfreude,,,15,,1
1,113959,BusXXX:1:10:39399:30499:28:1656:20241001,Herschelstraße,,,16,,1
1,113959,BusXXX:1:10:30499:39399:29:1757:20241001,Knoglersfreude,,,17,,1
1,113959,BusXXX:1:10:39399:30499:28:1826:20241001,Herschelstraße,,,18,,1
1,112545,BusXXX:1:10:30499:39399:29:1927:20241001,Knoglersfreude,,,19,,1
1,113959,BusXXX:1:10:39399:30499:28:1956:20241001,Herschelstraße,,,20,,1
1,113959,BusXXX:1:10:30499:39399:29:612:20241001,Knoglersfreude,,,21,,1
1,113959,BusXXX:1:10:39399:30499:28:641:20241001,Herschelstraße,,,22,,1
1,162307,BusXXX:1:10:30499:39399:29:742:20241001,Knoglersfreude,,,23,,1
1,113959,BusXXX:1:10:39399:30499:28:811:20241001,Herschelstraße,,,24,,1
1,162307,BusXXX:1:10:30499:39399:29:912:20241001,Knoglersfreude,,,25,,1
1,113959,BusXXX:1:10:39399:30499:28:941:20241001,Herschelstraße,,,26,,1
1,162307,BusXXX:1:10:30499:39399:29:1042:20241001,Knoglersfreude,,,27,,1
1,113959,BusXXX:1:10:39399:30499:28:1111:20241001,Herschelstraße,,,28,,1
1,162307,BusXXX:1:10:30499:39399:29:1212:20241001,Knoglersfreude,,,29,,1
1,113959,BusXXX:1:10:39399:30499:28:1241:20241001,Herschelstraße,,,30,,1
1,162307,BusXXX:1:10:30499:39399:29:1342:20241001,Knoglersfreude,,,31,,1
1,113959,BusXXX:1:10:39399:30499:28:1411:20241001,Herschelstraße,,,32,,1
1,162307,BusXXX:1:10:30499:39399:29:1512:20241001,Knoglersfreude,,,33,,1
1,113959,BusXXX:1:10:39399:30499:28:1541:20241001,Herschelstraße,,,34,,1
1,162307,BusXXX:1:10:30499:39399:29:1642:20241001,Knoglersfreude,,,35,,1
1,113959,BusXXX:1:10:39399:30499:28:1711:20241001,Herschelstraße,,,36,,1
1,162307,BusXXX:1:10:30499:39399:29:1812:20241001,Knoglersfreude,,,37,,1
1,113959,BusXXX:1:10:39399:30499:28:1841:20241001,Herschelstraße,,,38,,1
1,162307,BusXXX:1:10:30499:39399:29:1942:20241001,Knoglersfreude,,,39,,1
1,113959,BusXXX:1:10:39399:30499:28:2011:20241001,Herschelstraße,,,40,,1
1,113959,BusXXX:1:10:30499:39399:29:2057:20241001,Knoglersfreude,,,41,,1
1,113959,BusXXX:1:10:39399:30499:28:556:20241001,Herschelstraße,,,42,,1
1,113959,BusXXX:1:10:30499:39399:29:657:20241001,Knoglersfreude,,,43,,1
1,113959,BusXXX:1:10:39399:30499:28:726:20241001,Herschelstraße,,,44,,1
1,112545,BusXXX:1:10:30499:39399:29:827:20241001,Knoglersfreude,,,45,,1
1,113959,BusXXX:1:10:39399:30499:28:856:20241001,Herschelstraße,,,46,,1
1,113959,BusXXX:1:10:30499:39399:29:957:20241001,Knoglersfreude,,,47,,1
1,113959,BusXXX:1:10:39399:30499:28:1026:20241001,Herschelstraße,,,48,,1
1,112545,BusXXX:1:10:30499:39399:29:1127:20241001,Knoglersfreude,,,49,,1
1,113959,BusXXX:1:10:39399:30499:28:1156:20241001,Herschelstraße,,,50,,1
1,113959,BusXXX:1:10:30499:39399:29:1257:20241001,Knoglersfreude,,,51,,1
1,113959,BusXXX:1:10:39399:30499:28:1326:20241001,Herschelstraße,,,52,,1
1,112545,BusXXX:1:10:30499:39399:29:1427:20241001,Knoglersfreude,,,53,,1
1,113959,BusXXX:1:10:39399:30499:28:1456:20241001,Herschelstraße,,,54,,1
1,113959,BusXXX:1:10:30499:39399:29:1557:20241001,Knoglersfreude,,,55,,1
1,113959,BusXXX:1:10:39399:30499:28:1626:20241001,Herschelstraße,,,56,,1
1,112545,BusXXX:1:10:30499:39399:29:1727:20241001,Knoglersfreude,,,57,,1
1,113959,BusXXX:1:10:39399:30499:28:1756:20241001,Herschelstraße,,,58,,1
1,113959,BusXXX:1:10:30499:39399:29:1857:20241001,Knoglersfreude,,,59,,1
1,113959,BusXXX:1:10:39399:30499:28:1926:20241001,Herschelstraße,,,60,,1
1,113959,BusXXX:1:10:30499:39399:29:627:20241001,Knoglersfreude,,,61,,1
1,113959,BusXXX:1:10:39399:30499:28:656:20241001,Herschelstraße,,,62,,1
1,113959,BusXXX:1:10:30499:39399:29:757:20241001,Knoglersfreude,,,63,,1
1,113959,BusXXX:1:10:39399:30499:28:826:20241001,Herschelstraße,,,64,,1
1,112545,BusXXX:1:10:30499:39399:29:927:20241001,Knoglersfreude,,,65,,1
1,113959,BusXXX:1:10:39399:30499:28:956:20241001,Herschelstraße,,,66,,1
1,113959,BusXXX:1:10:30499:39399:29:1057:20241001,Knoglersfreude,,,67,,1
1,113959,BusXXX:1:10:39399:30499:28:1126:20241001,Herschelstraße,,,68,,1
1,112545,BusXXX:1:10:30499:39399:29:1227:20241001,Knoglersfreude,,,69,,1
1,113959,BusXXX:1:10:39399:30499:28:1256:20241001,Herschelstraße,,,70,,1
1,113959,BusXXX:1:10:30499:39399:29:1357:20241001,Knoglersfreude,,,71,,1
1,113959,BusXXX:1:10:39399:30499:28:1426:20241001,Herschelstraße,,,72,,1
1,112545,BusXXX:1:10:30499:39399:29:1527:20241001,Knoglersfreude,,,73,,1
1,113959,BusXXX:1:10:39399:30499:28:1556:20241001,Herschelstraße,,,74,,1
1,113959,BusXXX:1:10:30499:39399:29:1657:20241001,Knoglersfreude,,,75,,1
1,113959,BusXXX:1:10:39399:30499:28:1726:20241001,Herschelstraße,,,76,,1
1,112545,BusXXX:1:10:30499:39399:29:1827:20241001,Knoglersfreude,,,77,,1
1,113959,BusXXX:1:10:39399:30499:28:1856:20241001,Herschelstraße,,,78,,1
1,113959,BusXXX:1:10:30499:39399:29:1957:20241001,Knoglersfreude,,,79,,1
1,113959,BusXXX:1:10:39399:30499:28:2033:20241001,Herschelstraße,,,80,,1
1,113959,BusXXX:1:10:39399:30499:28:611:20241001,Herschelstraße,,,81,,1
1,162307,BusXXX:1:10:30499:39399:29:712:20241001,Knoglersfreude,,,82,,1
1,113959,BusXXX:1:10:39399:30499:28:741:20241001,Herschelstraße,,,83,,1
1,162307,BusXXX:1:10:30499:39399:29:842:20241001,Knoglersfreude,,,84,,1
1,113959,BusXXX:1:10:39399:30499:28:911:20241001,Herschelstraße,,,85,,1
1,162307,BusXXX:1:10:30499:39399:29:1012:20241001,Knoglersfreude,,,86,,1
1,113959,BusXXX:1:10:39399:30499:28:1041:20241001,Herschelstraße,,,87,,1
1,162307,BusXXX:1:10:30499:39399:29:1142:20241001,Knoglersfreude,,,88,,1
1,113959,BusXXX:1:10:39399:30499:28:1211:20241001,Herschelstraße,,,89,,1
1,162307,BusXXX:1:10:30499:39399:29:1312:20241001,Knoglersfreude,,,90,,1
1,113959,BusXXX:1:10:39399:30499:28:1341:20241001,Herschelstraße,,,91,,1
1,162307,BusXXX:1:10:30499:39399:29:1442:20241001,Knoglersfreude,,,92,,1
1,113959,BusXXX:1:10:39399:30499:28:1511:20241001,Herschelstraße,,,93,,1
1,162307,BusXXX:1:10:30499:39399:29:1612:20241001,Knoglersfreude,,,94,,1
1,113959,BusXXX:1:10:39399:30499:28:1641:20241001,Herschelstraße,,,95,,1
1,162307,BusXXX:1:10:30499:39399:29:1742:20241001,Knoglersfreude,,,96,,1
1,113959,BusXXX:1:10:39399:30499:28:1811:20241001,Herschelstraße,,,97,,1
1,162307,BusXXX:1:10:30499:39399:29:1912:20241001,Knoglersfreude,,,98,,1
1,113959,BusXXX:1:10:39399:30499:28:1941:20241001,Herschelstraße,,,99,,1
1,112545,BusXXX:1:10:30499:39399:29:2027:20241001,Knoglersfreude,,,100,,1
1,113959,BusXXX:1:10:30499:39399:29:642:20241001,Knoglersfreude,,,101,,1
1,113959,BusXXX:1:10:39399:30499:28:711:20241001,Herschelstraße,,,102,,1
1,162307,BusXXX:1:10:30499:39399:29:812:20241001,Knoglersfreude,,,103,,1
1,113959,BusXXX:1:10:39399:30499:28:841:20241001,Herschelstraße,,,104,,1
1,162307,BusXXX:1:10:30499:39399:29:942:20241001,Knoglersfreude,,,105,,1
1,113959,BusXXX:1:10:39399:30499:28:1011:20241001,Herschelstraße,,,106,,1
1,162307,BusXXX:1:10:30499:39399:29:1112:20241001,Knoglersfreude,,,107,,1
1,113959,BusXXX:1:10:39399:30499:28:1141:20241001,Herschelstraße,,,108,,1
1,162307,BusXXX:1:10:30499:39399:29:1242:20241001,Knoglersfreude,,,109,,1
1,113959,BusXXX:1:10:39399:30499:28:1311:20241001,Herschelstraße,,,110,,1
1,162307,BusXXX:1:10:30499:39399:29:1412:20241001,Knoglersfreude,,,111,,1
1,113959,BusXXX:1:10:39399:30499:28:1441:20241001,Herschelstraße,,,112,,1
1,162307,BusXXX:1:10:30499:39399:29:1542:20241001,Knoglersfreude,,,113,,1
1,113959,BusXXX:1:10:39399:30499:28:1611:20241001,Herschelstraße,,,114,,1
1,162307,BusXXX:1:10:30499:39399:29:1712:20241001,Knoglersfreude,,,115,,1
1,113959,BusXXX:1:10:39399:30499:28:1741:20241001,Herschelstraße,,,116,,1
1,162307,BusXXX:1:10:30499:39399:29:1842:20241001,Knoglersfreude,,,117,,1
1,113959,BusXXX:1:10:39399:30499:28:1911:20241001,Herschelstraße,,,118,,1
1,162307,BusXXX:1:10:30499:39399:29:2012:20241001,Knoglersfreude,,,119,,1
1,112545,BusXXX:1:10:39399:78801:23:2057:20241001,Z O B,,,120,,1
1,118909,BusXXX:1:10:80302:78801:9:732:20241001,Z O B,,,121,,1
1,118909,BusXXX:1:10:78802:66002:9:744:20241001,Schulzentrum SW,,,122,,1
1,118909,BusXXX:1:10:66002:78801:5:1309:20241001,Z O B,,,123,,1
1,001827,BusXXX:1:10:30499:39399:29:2042:20241005,Knoglersfreude,,,124,,1
1,001827,BusXXX:1:10:30499:80301:15:2056:20241005,Hauptbahnhof,,,125,,1
1,001827,BusXXX:1:10:39399:30499:28:651:20241005,Herschelstraße,,,126,,1
1,001827,BusXXX:1:10:39399:30499:28:721:20241005,Herschelstraße,,,127,,1
1,001827,BusXXX:1:10:39399:30499:28:751:20241005,Herschelstraße,,,128,,1
1,001827,BusXXX:1:10:39399:30499:28:821:20241005,Herschelstraße,,,129,,1
1,001827,BusXXX:1:10:39399:30499:28:851:20241005,Herschelstraße,,,130,,1
1,001827,BusXXX:1:10:39399:30499:28:921:20241005,Herschelstraße,,,131,,1
1,001827,BusXXX:1:10:39399:30499:28:951:20241005,Herschelstraße,,,132,,1
1,001827,BusXXX:1:10:39399:30499:28:1021:20241005,Herschelstraße,,,133,,1
1,001827,BusXXX:1:10:39399:30499:28:1051:20241005,Herschelstraße,,,134,,1
1,001827,BusXXX:1:10:39399:30499:28:1121:20241005,Herschelstraße,,,135,,1
1,001827,BusXXX:1:10:39399:30499:28:1151:20241005,Herschelstraße,,,136,,1
1,001827,BusXXX:1:10:39399:30499:28:1221:20241005,Herschelstraße,,,137,,1
1,001827,BusXXX:1:10:39399:30499:28:1251:20241005,Herschelstraße,,,138,,1
1,001827,BusXXX:1:10:39399:30499:28:1321:20241005,Herschelstraße,,,139,,1
1,001827,BusXXX:1:10:39399:30499:28:1351:20241005,Herschelstraße,,,140,,1
1,001827,BusXXX:1:10:39399:30499:28:1421:20241005,Herschelstraße,,,141,,1
1,001827,BusXXX:1:10:39399:30499:28:1451:20241005,Herschelstraße,,,142,,1
1,001827,BusXXX:1:10:39399:30499:28:1521:20241005,Herschelstraße,,,143,,1
1,001827,BusXXX:1:10:39399:30499:28:1551:20241005,Herschelstraße,,,144,,1
1,001827,BusXXX:1:10:39399:30499:28:1621:20241005,Herschelstraße,,,145,,1
1,001827,BusXXX:1:10:39399:30499:28:1651:20241005,Herschelstraße,,,146,,1
1,001827,BusXXX:1:10:39399:30499:28:1721:20241005,Herschelstraße,,,147,,1
1,001827,BusXXX:1:10:39399:30499:28:1751:20241005,Herschelstraße,,,148,,1
1,001827,BusXXX:1:10:39399:30499:28:1821:20241005,Herschelstraße,,,149,,1
1,001827,BusXXX:1:10:39399:30499:28:1851:20241005,Herschelstraße,,,150,,1
1,001827,BusXXX:1:10:39399:30499:28:1921:20241005,Herschelstraße,,,151,,1
1,001827,BusXXX:1:10:39399:30499:28:1951:20241005,Herschelstraße,,,152,,1
1,001827,BusXXX:1:10:39399:30499:28:2021:20241005,Herschelstraße,,,153,,1
1,001827,BusXXX:1:10:39399:30499:28:2051:20241005,Herschelstraße,,,154,,1
1,001827,BusXXX:1:10:39399:78801:23:2112:20241005,Z O B,,,155,,1
1,105133,BusXXX:1:10:39399:30499:28:1106:20241003,Herschelstraße,,,156,,1
1,105133,BusXXX:1:10:39399:30499:28:1206:20241003,Herschelstraße,,,157,,1
1,105133,BusXXX:1:10:39399:30499:28:1306:20241003,Herschelstraße,,,158,,1
1,105133,BusXXX:1:10:39399:30499:28:1406:20241003,Herschelstraße,,,159,,1
1,105133,BusXXX:1:10:39399:30499:28:1506:20241003,Herschelstraße,,,160,,1
1,105133,BusXXX:1:10:39399:30499:28:1606:20241003,Herschelstraße,,,161,,1
1,105133,BusXXX:1:10:39399:30499:28:1706:20241003,Herschelstraße,,,162,,1
1,105133,BusXXX:1:10:39399:30499:28:1806:20241003,Herschelstraße,,,163,,1
1,105133,BusXXX:1:10:39399:30499:28:1906:20241003,Herschelstraße,,,164,,1
1,105133,BusXXX:1:10:39399:30499:28:2006:20241003,Herschelstraße,,,165,,1
1,105133,BusXXX:1:10:39399:30499:28:906:20241003,Herschelstraße,,,166,,1
1,105133,BusXXX:1:10:39399:30499:28:1006:20241003,Herschelstraße,,,167,,1
1,113959,BusXXX:1:10:30499:78802:7:2057:20241001,Z O B,,,168,,1
2,001827,BusXXX:1:11:119202:190603:30:540:20241005,Bahnhof IN Audi,,,169,,1
2,001827,BusXXX:1:11:190603:119201:30:628:20241005,Urnenfelderstr.,,,170,,1
2,001827,BusXXX:1:11:119202:190603:30:710:20241005,Bahnhof IN Audi,,,171,,1
2,001827,BusXXX:1:11:190603:119201:30:758:20241005,Urnenfelderstr.,,,172,,1
2,001827,BusXXX:1:11:119202:190603:30:840:20241005,Bahnhof IN Audi,,,173,,1
2,001827,BusXXX:1:11:190603:119201:30:928:20241005,Urnenfelderstr.,,,174,,1
2,001827,BusXXX:1:11:119202:190603:30:1010:20241005,Bahnhof IN Audi,,,175,,1
2,001827,BusXXX:1:11:190603:119201:30:1058:20241005,Urnenfelderstr.,,,176,,1
2,105137,BusXXX:1:11:119202:190603:30:1140:20241003,Bahnhof IN Audi,,,177,,1
2,001827,BusXXX:1:11:190603:119201:30:1228:20241005,Urnenfelderstr.,,,178,,1
2,001827,BusXXX:1:11:119202:190603:30:1310:20241005,Bahnhof IN Audi,,,179,,1
2,001827,BusXXX:1:11:190603:119201:30:1358:20241005,Urnenfelderstr.,,,180,,1
2,105137,BusXXX:1:11:119202:190603:30:1440:20241003,Bahnhof IN Audi,,,181,,1
2,001827,BusXXX:1:11:190603:119201:30:1528:20241005,Urnenfelderstr.,,,182,,1
2,001827,BusXXX:1:11:119202:190603:30:1610:20241005,Bahnhof IN Audi,,,183,,1
2,001827,BusXXX:1:11:190603:119201:30:1658:20241005,Urnenfelderstr.,,,184,,1
2,105137,BusXXX:1:11:119202:190603:30:1740:20241003,Bahnhof IN Audi,,,185,,1
2,001827,BusXXX:1:11:190603:119201:30:1828:20241005,Urnenfelderstr.,,,186,,1
2,001827,BusXXX:1:11:119202:190603:30:1910:20241005,Bahnhof IN Audi,,,187,,1
2,001827,BusXXX:1:11:190603:119201:30:1958:20241005,Urnenfelderstr.,,,188,,1
2,105137,BusXXX:1:11:119202:190603:30:2040:20241003,Bahnhof IN Audi,,,189,,1
2,001827,BusXXX:1:11:119202:190603:30:610:20241005,Bahnhof IN Audi,,,190,,1
2,001827,BusXXX:1:11:190603:119201:30:658:20241005,Urnenfelderstr.,,,191,,1
